ITTER107;Territorio;TIPO_DATO7;Tipo di indicatore;CORREZ;Correzione;COSTO_GRUPCATEG;Gruppo e categoria di costo;TIME;Seleziona periodo;Value;Flag Codes;Flags
IT;Italia;CONS_CST2;indice del costo di costruzione di un fabbricato residenziale - dati mensili - base 2015=100;N;dati grezzi;I;indice generale;01/10/2021;Ott-2021;1091;;
IT;Italia;CONS_CST2;indice del costo di costruzione di un fabbricato residenziale - dati mensili - base 2015=100;N;dati grezzi;I;indice generale;01/11/2021;Nov-2021;1098;;
IT;Italia;CONS_CST2;indice del costo di costruzione di un fabbricato residenziale - dati mensili - base 2015=100;N;dati grezzi;I;indice generale;01/12/2021;Dic-2021;1103;;
IT;Italia;CONS_CST2;indice del costo di costruzione di un fabbricato residenziale - dati mensili - base 2015=100;N;dati grezzi;I;indice generale;01/01/2022;Gen-2022;1133;;
IT;Italia;CONS_CST2;indice del costo di costruzione di un fabbricato residenziale - dati mensili - base 2015=100;N;dati grezzi;I;indice generale;01/02/2022;Feb-2022;1139;;
IT;Italia;CONS_CST2;indice del costo di costruzione di un fabbricato residenziale - dati mensili - base 2015=100;N;dati grezzi;I;indice generale;01/03/2022;Mar-2022;1179;;
IT;Italia;CONS_CST2;indice del costo di costruzione di un fabbricato residenziale - dati mensili - base 2015=100;N;dati grezzi;I;indice generale;01/04/2022;Apr-2022;1202;;
IT;Italia;CONS_CST2;indice del costo di costruzione di un fabbricato residenziale - dati mensili - base 2015=100;N;dati grezzi;I;indice generale;01/05/2022;Mag-2022;1212;;
IT;Italia;CONS_CST2;indice del costo di costruzione di un fabbricato residenziale - dati mensili - base 2015=100;N;dati grezzi;I;indice generale;01/06/2022;Giu-2022;1213;;
IT;Italia;CONS_CST2;indice del costo di costruzione di un fabbricato residenziale - dati mensili - base 2015=100;N;dati grezzi;I;indice generale;01/07/2022;Lug-2022;1211;;
IT;Italia;CONS_CST2;indice del costo di costruzione di un fabbricato residenziale - dati mensili - base 2015=100;N;dati grezzi;I;indice generale;01/08/2022;Ago-2022;1218;;
IT;Italia;CONS_CST2;indice del costo di costruzione di un fabbricato residenziale - dati mensili - base 2015=100;N;dati grezzi;I;indice generale;01/09/2022;Set-2022;1226;;
IT;Italia;CONS_CST2;indice del costo di costruzione di un fabbricato residenziale - dati mensili - base 2015=100;N;dati grezzi;I;indice generale;01/10/2022;Ott-2022;1232;p;dato provvisorio
IT;Italia;CONS_CST_CAP;indice del costo di costruzione di un capannone industriale - dati mensili - base 2015=100;N;dati grezzi;I;indice generale;01/10/2021;Ott-2021;1151;;
IT;Italia;CONS_CST_CAP;indice del costo di costruzione di un capannone industriale - dati mensili - base 2015=100;N;dati grezzi;I;indice generale;01/11/2021;Nov-2021;1155;;
IT;Italia;CONS_CST_CAP;indice del costo di costruzione di un capannone industriale - dati mensili - base 2015=100;N;dati grezzi;I;indice generale;01/12/2021;Dic-2021;1158;;
IT;Italia;CONS_CST_CAP;indice del costo di costruzione di un capannone industriale - dati mensili - base 2015=100;N;dati grezzi;I;indice generale;01/01/2022;Gen-2022;1203;;
IT;Italia;CONS_CST_CAP;indice del costo di costruzione di un capannone industriale - dati mensili - base 2015=100;N;dati grezzi;I;indice generale;01/02/2022;Feb-2022;1213;;
IT;Italia;CONS_CST_CAP;indice del costo di costruzione di un capannone industriale - dati mensili - base 2015=100;N;dati grezzi;I;indice generale;01/03/2022;Mar-2022;1264;;
IT;Italia;CONS_CST_CAP;indice del costo di costruzione di un capannone industriale - dati mensili - base 2015=100;N;dati grezzi;I;indice generale;01/04/2022;Apr-2022;1321;;
IT;Italia;CONS_CST_CAP;indice del costo di costruzione di un capannone industriale - dati mensili - base 2015=100;N;dati grezzi;I;indice generale;01/05/2022;Mag-2022;1338;;
IT;Italia;CONS_CST_CAP;indice del costo di costruzione di un capannone industriale - dati mensili - base 2015=100;N;dati grezzi;I;indice generale;01/06/2022;Giu-2022;1307;;
IT;Italia;CONS_CST_CAP;indice del costo di costruzione di un capannone industriale - dati mensili - base 2015=100;N;dati grezzi;I;indice generale;01/07/2022;Lug-2022;1288;;
IT;Italia;CONS_CST_CAP;indice del costo di costruzione di un capannone industriale - dati mensili - base 2015=100;N;dati grezzi;I;indice generale;01/08/2022;Ago-2022;1304;;
IT;Italia;CONS_CST_CAP;indice del costo di costruzione di un capannone industriale - dati mensili - base 2015=100;N;dati grezzi;I;indice generale;01/09/2022;Set-2022;1311;;
IT;Italia;CONS_CST_CAP;indice del costo di costruzione di un capannone industriale - dati mensili - base 2015=100;N;dati grezzi;I;indice generale;01/10/2022;Ott-2022;1308;p;dato provvisorio
