_id,Stazione,Ubicazione,Linee,Note,MUNICIPIO,ID_NIL,NIL,LONG_X_4326,LAT_Y_4326,Location
1,Milano Lancetti,Sotterranea,S1 S2 S5 S6 S13,Dati indicativi non ufficiali.,9,78,FARINI,9.17712322085963,45.4937410910517,"(45.4937410910517, 9.17712322085963)"
2,Milano Centrale,Superficie,Interregionali,Dati indicativi non ufficiali.,2,10,STAZIONE CENTRALE - PONTE SEVESO,9.20419675790644,45.486161235226,"(45.486161235226, 9.20419675790644)"
3,Milano Porta Garibaldi Sup.,Superficie,S11,Dati indicativi non ufficiali.,9,9,PORTA GARIBALDI - PORTA NUOVA,9.1867506782341,45.485593393828,"(45.485593393828, 9.1867506782341)"
4,Milano Lambrate,Superficie,S9,Dati indicativi non ufficiali.,3,22,CITTA' STUDI,9.23689818170729,45.4848723299094,"(45.4848723299094, 9.23689818170729)"
5,Milano Porta Garibaldi Sott.,Sotterranea,S1 S2 S5 S6 S13,Dati indicativi non ufficiali.,9,9,PORTA GARIBALDI - PORTA NUOVA,9.18616229197573,45.4843344249528,"(45.4843344249528, 9.18616229197573)"
6,Milano Repubblica,Sotterranea,S1 S2 S5 S6 S13,Dati indicativi non ufficiali.,2,10,STAZIONE CENTRALE - PONTE SEVESO,9.19868242499003,45.4804361647545,"(45.4804361647545, 9.19868242499003)"
7,Milano Porta Venezia,Sotterranea,S1 S2 S5 S6 S13,Dati indicativi non ufficiali.,3,21,BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE,9.20882392812955,45.4757903172868,"(45.4757903172868, 9.20882392812955)"
8,Milano Cadorna,Superficie,S3 S4,Dati indicativi non ufficiali.,1,7,MAGENTA - S. VITTORE,9.17563533371968,45.4681776130004,"(45.4681776130004, 9.17563533371968)"
9,Milano Porta Vittoria,Sotterranea,S1 S2 S5 S6 S13,Dati indicativi non ufficiali.,4,28,UMBRIA - MOLISE - CALVAIRATE,9.22360963993889,45.4596197232533,"(45.4596197232533, 9.22360963993889)"
10,Milano Porta Genova,Superficie,Interregionali,Dati indicativi non ufficiali.,6,50,PORTA GENOVA,9.16924529212752,45.4531702945483,"(45.4531702945483, 9.16924529212752)"
11,Milano Porta Romana,Superficie,S9,Dati indicativi non ufficiali.,5,36,SCALO ROMANA,9.2091058832835,45.4456052626033,"(45.4456052626033, 9.2091058832835)"
12,Milano San Cristoforo,Superficie,S9,Dati indicativi non ufficiali.,6,49,GIAMBELLINO,9.13027393739621,45.4423790951393,"(45.4423790951393, 9.13027393739621)"
13,Milano Rogoredo,Superficie,S1 S2 S13,Dati indicativi non ufficiali.,4,35,LODI - CORVETTO,9.23896248984017,45.4336585091805,"(45.4336585091805, 9.23896248984017)"
14,Milano Bruzzano Parco Nord,Superficie,S2 S4,Dati indicativi non ufficiali.,9,83,BRUZZANO,9.17281164241078,45.5335952897409,"(45.5335952897409, 9.17281164241078)"
15,Milano Quarto Oggiaro,Superficie,S1 S3,Dati indicativi non ufficiali.,8,76,QUARTO OGGIARO - VIALBA - MUSOCCO,9.1454943963032,45.5189552099705,"(45.5189552099705, 9.1454943963032)"
16,Milano Greco Pirelli,Superficie,S9 S11,Dati indicativi non ufficiali.,2,16,GORLA - PRECOTTO,9.21469553385638,45.5127833377175,"(45.5127833377175, 9.21469553385638)"
17,Milano Certosa,Superficie,S5 S6 S11,Dati indicativi non ufficiali.,8,76,QUARTO OGGIARO - VIALBA - MUSOCCO,9.13357137148603,45.5071334501011,"(45.5071334501011, 9.13357137148603)"
18,Milano Bovisa,Superficie,S1 S2 S3 S4 S13,Dati indicativi non ufficiali.,9,77,BOVISA,9.15905123169957,45.5026975624513,"(45.5026975624513, 9.15905123169957)"
19,Milano Villapizzone,Superficie,S5 S6 S11,Dati indicativi non ufficiali.,9,77,BOVISA,9.1509083102935,45.5021001975202,"(45.5021001975202, 9.1509083102935)"
20,Milano Dateo,Sotterranea,S1 S2 S5 S6 S13,Dati indicativi non ufficiali.,3,21,BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE,9.2166841331161,45.4679794780654,"(45.4679794780654, 9.2166841331161)"
21,Milano Romolo,Superficie,S9,Dati indicativi non ufficiali.,6,44,PORTA TICINESE - CONCHETTA,9.16778607252269,45.4432569222744,"(45.4432569222744, 9.16778607252269)"
22,Milano  Affori,Superficie,S2 S4,Dati indicativi non ufficiali.,9,80,AFFORI,9.16746360961369,45.5212407453538,"(45.5212407453538, 9.16746360961369)"
23,Milano Domodossola,Sotterranea,S3 S4,Dati indicativi non ufficiali.,8,67,PORTELLO,9.16172540146053,45.4812682361026,"(45.4812682361026, 9.16172540146053)"
24,Milano Forlanini,Superficie,S5 S6 S9,Dati indicativi non ufficiali.,4,25,CORSICA,9.23673460813619,45.4644657452816,"(45.4644657452816, 9.23673460813619)"
