id_fermata;nome_fermata
889;TRE TORRI
890;ZARA
891;WAGNER
892;VIMODRONE
893;VILLA S.G.
894;VILLA POMPEA
895;VILLA FIORITA
896;URUGUAY
897;UDINE
898;TURRO
899;TURATI
900;SONDRIO
901;S.LEONARDO
902;SESTO RONDO
903;SESTO MARELLI
904;SESTO 1 MAGGIO FS
905;SEGESTA
906;SAN SIRO STADIO
907;SAN SIRO IPPODROMO
908;SAN DONATO
909;SAN BABILA
910;S.AMBROGIO
911;S.AGOSTINO
912;ROVERETO
913;ROMOLO
914;ROGOREDO FS
915;RHO FIERAMILANO
916;REPUBBLICA
917;QT8
918;P.TA VENEZIA
919;P.TA GENOVA F.S.
920;PRIMATICCIO
921;PRECOTTO
922;PORTO DI MARE
923;PORTELLO
924;PORTA ROMANA
925;PONALE
926;PIOLA
927;PERO
928;PASTEUR
929;PALESTRO
930;PAGANO
931;MOSCOVA
932;MONUMENTALE
933;MONTENAPOLEONE
934;MOLINO DORINO
935;MISSORI
936;MARCHE
937;MACIACHINI
938;LOTTO M5
939;LOTTO FIERAMILANOCITY
940;LORETO M2
941;LORETO M1
942;LODI T.I.B.B.
943;LIMA
944;LANZA
945;LAMPUGNANO
946;LAMBRATE FS
947;ISTRIA
948;ISOLA
949;INGANNI
951;GORLA
952;GORGONZOLA
953;GIOIA
954;GESSATE
955;GERUSALEMME
956;GARIBALDI FS
957;GAMBARA
958;FAMAGOSTA
959;DUOMO M3
960;DUOMO M1
961;DOMODOSSOLA
962;DERGANO
963;DE ANGELI
964;CROCETTA
965;CRESCENZAGO
966;CORVETTO
967;CORDUSIO
968;CONCILIAZIONE
969;COMASINA
970;COLOGNO SUD
971;COLOGNO NORD
972;COLOGNO CENTRO
973;CIMIANO
974;CERNUSCO SUL NAVIGLIO
975;CENTRALE FS
976;CENISIO
977;CASSINA DE PECCHI
978;CASCINA GOBBA
979;CASCINA BURRONA
980;CASCINA ANTONIETTA
981;CAIROLI
982;CAIAZZO
983;CA GRANDA
984;CADORNA FN M2
985;CADORNA FN M1
986;BUSSERO
987;BUONARROTI
988;BRENTA
989;BONOLA
990;BISCEGLIE
991;BIGNAMI
992;BICOCCA
993;BANDE NERE
994;ASSAGO MILANOFIORI NORD
995;ASSAGO MILANOFIORI FORUM
996;AMENDOLA
997;AFFORI FN
998;AFFORI CENTRO
999;ABBIATEGRASSO
