id;nome;n_posti;indirizzo;comune;tipo;LONG_X_4326;LAT_Y_4326;Location
"11";Giulio Cesare;116;Piazza Giulio Cesare;Milano;RESIDENTI/PUBBLICI;9.15556763185965;45.4737699484467;"(45.4737699484467, 9.15556763185965)"
"14";Puccini;184;Via Puccini;Milano;RESIDENTI/PUBBLICI;9.17975124561596;45.4671910081779;"(45.4671910081779, 9.17975124561596)"
"15";Mascagni;222;Via Mascagni;Milano;RESIDENTI/PUBBLICI;9.20261022816454;45.4661114870698;"(45.4661114870698, 9.20261022816455)"
"16";Majno;163;Viale Majno;Milano;RESIDENTI/PUBBLICI;9.20540599813797;45.4725169169033;"(45.4725169169033, 9.20540599813798)"
"17";Gramsci;122;Piazza Gramsci;Milano;RESIDENTI/PUBBLICI;9.16861306691847;45.4815445574795;"(45.4815445574795, 9.16861306691847)"
"23";Vittor Pisani;964;Vittor Pisani;Milano;PUBBLICI;9.20138763309181;45.4832208181336;"(45.4832208181336, 9.20138763309181)"
"42";San Barnaba;750;San Barnaba;Milano;PUBBLICI;9.19757615529708;45.4594406038423;"(45.4594406038423, 9.19757615529708)"
"44";U3 Portello;706;Scarampo;Milano;AUTORIMESSA CONVENZIONATA;9.1459729160495;45.4855407343012;"(45.4855407343012, 9.1459729160495)"
"45";Bicocca P7;712;Via Vizzola / Innovazione;Milano;PUBBLICI;9.21343749035093;45.5160220384278;"(45.5160220384279, 9.21343749035093)"
"50";Dateo nord;183;Piazzale Dateo;Milano;PUBBLICI/RESIDENTI;9.21634454051996;45.4683681578616;"(45.4683681578616, 9.21634454051996)"
"52";Vittadini;200;Via Vittadini;Milano;PUBBLICI/RESIDENTI;9.19417795959572;45.4497423540736;"(45.4497423540736, 9.19417795959572)"
"54";Sabotino;162;Viale Sabotino;Milano;PUBBLICI/RESIDENTI;9.20157230746573;45.4511501380521;"(45.4511501380521, 9.20157230746573)"
"139";Carlo Farini;94;"Via Farini, 30";Milano;AUTORIMESSA CONVENZIONATA;9.1832698896361;45.4892804491229;"(45.4892804491229, 9.1832698896361)"
"143";Varesine;478;Viale della Liberazione;Milano;AUTORIMESSA CONVENZIONATA;9.19473485656943;45.4819343428509;"(45.4819343428509, 9.19473485656943)"
"210";Sassetti Restelli;211;Via Sassetti /Via Restelli;Milano;AUTORIMESSA CONVENZIONATA;9.19501192048985;45.4876588703125;"(45.4876588703125, 9.19501192048985)"
"243";Lorenteggio Koch;88;via Lorenteggio 278 (ora Via Roberto Koch 14);Milano;AUTORIMESSA CONVENZIONATA;9.12745673965421;45.4471054637281;"(45.4471054637281, 9.12745673965421)"
"274";Campania Viale Corsica;144;Viale Campania;Milano;AUTORIMESSA CONVENZIONATA;9.22543088742481;45.4622741650531;"(45.4622741650532, 9.22543088742481)"
"291";Garibaldi/Repubblica Edificio Podio P-II;77;Piazza Gae Aulenti;Milano;AUTORIMESSA CONVENZIONATA;9.19074604636393;45.4834141818479;"(45.4834141818479, 9.19074604636393)"
"300";Messina;81;Via Messina 10;Milano;AUTORIMESSA CONVENZIONATA;9.17562184102332;45.4825236872329;"(45.4825236872329, 9.17562184102332)"
"315";Galileo Galilei Marco Polo;200;Via Galileo Galilei 5 angolo Marco Polo;Milano;AUTORIMESSA CONVENZIONATA;9.19517814428844;45.4801967828333;"(45.4801967828333, 9.19517814428844)"
"468";Soresina;92;Via Soresina 14;Milano;AUTORIMESSA CONVENZIONATA;9.1618286498729;45.4647220175881;"(45.4647220175881, 9.1618286498729)"
"539";Carducci Olona;160;Carducci - Olona;Milano;AUTORIMESSA CONVENZIONATA;9.17226831507406;45.46109735836;"(45.46109735836, 9.17226831507406)"
"540";Lancetti  Aprica;226;Lancetti / Aprica / Maloia;Milano;AUTORIMESSA CONVENZIONATA;9.17617160601276;45.4947101573897;"(45.4947101573898, 9.17617160601276)"
"571";Cardinal Ferrari;200;Via Cardinal  Ferrari;Milano;RESIDENTI/PUBBLICI;9.19254626856265;45.4558249031531;"(45.4558249031531, 9.19254626856266)"
"605";Washington/Piemonte;177;Piazza Piemonte;Milano;RESIDENTI/PUBBLICI;9.15461399232292;45.4666019014083;"(45.4666019014083, 9.15461399232292)"
"646";Sant'Ambrogio;234;Piazza Sant'Ambrogio;Milano;PUBBLICI/RESIDENTI;9.17512547546456;45.4633358735501;"(45.4633358735501, 9.17512547546456)"
"649";Meda;522;Piazza Meda;Milano;PUBBLICI;9.19323420148745;45.4670173937524;"(45.4670173937524, 9.19323420148745)"
"651";Risorgimento nord;178;Piazza Risorgimento;Milano;PUBBLICI/RESIDENTI;9.2106827473376;45.4683611752609;"(45.4683611752609, 9.2106827473376)"
"652";Manuzio;150;Via  Manuzio;Milano;PUBBLICI/RESIDENTI;9.20058526612917;45.4787763168959;"(45.4787763168959, 9.20058526612917)"
"661";Quinto Alpini;238;Largo Quinto Alpini;Milano;PUBBLICI/RESIDENTI;9.16690001414884;45.4718939760622;"(45.4718939760622, 9.16690001414884)"
"670";XXV Aprile;333;Piazza Venticinque Aprile;Milano;PUBBLICI/RESIDENTI;9.18700245455742;45.4808011600029;"(45.4808011600029, 9.18700245455742)"
"690";Garibaldi/Repubblica Edificio Podio P-III;298;Piazza Gae Aulenti;Milano;AUTORIMESSA CONVENZIONATA;9.18986539504442;45.4834736028943;"(45.4834736028943, 9.18986539504442)"
"777";Abruzzi;116;Viale Abruzzi 94;Milano;AUTORIMESSA CONVENZIONATA;9.2171989563512;45.4736944055557;"(45.4736944055557, 9.2171989563512)"
"779";U2 Portello;195;Marco Ulpio Traiano;Milano;AUTORIMESSA CONVENZIONATA;9.14684892598673;45.4907431820764;"(45.4907431820764, 9.14684892598673)"
"790";Masaccio;328;Via Masaccio 19;Milano;AUTORIMESSA CONVENZIONATA;9.14524917535201;45.4790469299674;"(45.4790469299674, 9.14524917535201)"
"797";Savona Tolstoj;77;Savona / Tolstoj Concessione;Milano;PUBBLICI;9.1520479728715;45.4490639802973;"(45.4490639802973, 9.1520479728715)"
"855";Marghera Sanzio;21;Via Marghera / Sanzio;Milano;AUTORIMESSA CONVENZIONATA;9.15042467338806;45.4670058896172;"(45.4670058896172, 9.15042467338806)"
"955";Ripamonti Salasco;120;Via Ripamonti / Salasco;Milano;AUTORIMESSA CONVENZIONATA;9.19616296203945;45.4505186852524;"(45.4505186852524, 9.19616296203945)"
"980";Machiavelli Parking;50;Via Finocchiaro Aprile;Milano;AUTORIMESSA CONVENZIONATA;9.20145224665601;45.4778635985058;"(45.4778635985058, 9.20145224665601)"
"1031";De Cristoforis Rosales;123;Via De Cristoforis/Via Rosales/V.le  Montegrappa;Milano;AUTORIMESSA CONVENZIONATA;9.18892659576881;45.4817284530343;"(45.4817284530343, 9.18892659576881)"
"1095";Washington Digione;151;Washington/Digione;Milano;AUTORIMESSA CONVENZIONATA;9.15437407831109;45.4610868929033;"(45.4610868929033, 9.15437407831109)"
"1101";Sempione Prina;97;C.so Sempione ang. Via Prina 14;Milano;AUTORIMESSA CONVENZIONATA;9.16797521180861;45.4798978751443;"(45.4798978751443, 9.16797521180861)"
"3000";Bixio;18;Via Bixio 15;Milano;AUTORIMESSA CONVENZIONATA;9.20899886503524;45.4723137718268;"(45.4723137718268, 9.20899886503524)"
"3001";Rubattino Pitteri;129;Via Rubattino;Milano;AUTORIMESSA CONVENZIONATA;9.24739269242875;45.4766972293218;"(45.4766972293218, 9.24739269242875)"
"3002";Lodi (Centro Commerciale);98;P.le Lodi;Milano;AUTORIMESSA CONVENZIONATA;9.21206469572705;45.447633783743;"(45.447633783743, 9.21206469572705)"
"3500";Lomazzo Bertini;85;Via Lomazzo 19 / Bertini 10;Milano;AUTORIMESSA CONVENZIONATA;9.17213945393542;45.4818359300903;"(45.4818359300903, 9.17213945393542)"
"3502";Colletta Friuli;70;Via Pietro Colletta \ Via Friuli 11-13;Milano;AUTORIMESSA CONVENZIONATA;9.21020107644841;45.4495937155539;"(45.4495937155539, 9.21020107644841)"
"4000";Cà Granda De Gasperis;120;Viale Cà Granda ang. Via De Gasperis;Milano;AUTORIMESSA CONVENZIONATA;9.19448104802305;45.5075356416511;"(45.5075356416511, 9.19448104802305)"
"4001";Pichi Magolfa;144;Via Gola;Milano;AUTORIMESSA CONVENZIONATA;9.17721195104086;45.4496386727163;"(45.4496386727163, 9.17721195104086)"
"4002";Carlo De Angeli (Esselunga);171;Via Carlo De Angeli;Milano;AUTORIMESSA CONVENZIONATA;9.19845128932528;45.4432155977356;"(45.4432155977356, 9.19845128932528)"
"4003";Zara Laurana;125;Zara / Laurana;Milano;AUTORIMESSA CONVENZIONATA;9.19593277631657;45.4991670347925;"(45.4991670347925, 9.19593277631657)"
"4004";Pismonte Marco D'Agrate;28;Via Pismonte / Marco D'Agrate;Milano;AUTORIMESSA CONVENZIONATA;9.21617940574132;45.4366733113066;"(45.4366733113066, 9.21617940574132)"
"8000";Bicocca P8;420;Via Beccaro;Milano;PUBBLICI;9.21208526281332;45.5173749127889;"(45.5173749127889, 9.21208526281333)"
