_id,anno,sharing_veicoli,sharing_veicoli_tipologia,sharing_veicoli_indicatori,sharing_veicoli_valore,note
1,2011,bike sharing,Station Based,Numero di biciclette,1834,""
2,2011,bike sharing,Station Based,Stazioni attive,120,""
3,2011,bike sharing,Station Based,Numero di abbonati,12624,""
4,2011,bike sharing,Station Based,Numero di prelievi,1079129,""
5,2011,car sharing,Station Based,Autovetture totale,134,""
6,2011,car sharing,Station Based,Autovetture elettriche,,""
7,2011,car sharing,Station Based,Aree di sosta,72,""
8,2011,car sharing,Station Based,Stalli di sosta,80,""
9,2011,car sharing,Station Based,Numero di abbonati,1424,""
10,2011,car sharing,Station Based,Numero di chilometri percorsi,153041,""
11,2012,bike sharing,Station Based,Numero di biciclette,2869,""
12,2012,bike sharing,Station Based,Stazioni attive,164,""
13,2012,bike sharing,Station Based,Numero di abbonati,16003,""
14,2012,bike sharing,Station Based,Numero di prelievi,1426946,""
15,2012,car sharing,Station Based,Autovetture totale,130,""
16,2012,car sharing,Station Based,Autovetture elettriche,,""
17,2012,car sharing,Station Based,Aree di sosta,80,""
18,2012,car sharing,Station Based,Stalli di sosta,80,""
19,2012,car sharing,Station Based,Numero di abbonati,1583,""
20,2012,car sharing,Station Based,Numero di chilometri percorsi,201417,""
21,2013,bike sharing,Station Based,Numero di biciclette,3482,""
22,2013,bike sharing,Station Based,Stazioni attive,190,""
23,2013,bike sharing,Station Based,Numero di abbonati,23510,""
24,2013,bike sharing,Station Based,Numero di prelievi,1894392,""
25,2013,car sharing,Free Floating,Autovetture totale,875,""
26,2013,car sharing,Free Floating,Autovetture elettriche,,""
27,2013,car sharing,Free Floating,Numero di punti di riconsegna,,""
28,2013,car sharing,Free Floating,Stalli di sosta,,""
29,2013,car sharing,Free Floating,Numero di abbonati,72337,""
30,2013,car sharing,Free Floating,Noleggi medi giornalieri,2314,12agosto-31dicembre 2013
31,2013,car sharing,Station Based,Autovetture totale,129,""
32,2013,car sharing,Station Based,Autovetture elettriche,2,""
33,2013,car sharing,Station Based,Aree di sosta,80,""
34,2013,car sharing,Station Based,Stalli di sosta,80,""
35,2013,car sharing,Station Based,Numero di abbonati,5000,""
36,2013,car sharing,Station Based,Numero di chilometri percorsi,,""
37,2014,bike sharing,Free Floating,Numero di abbonati,28878,""
38,2014,bike sharing,Station Based,Numero di biciclette,3650,""
39,2014,bike sharing,Station Based,Stazioni attive,205,""
40,2014,bike sharing,Station Based,Numero di abbonati,18000,""
41,2014,bike sharing,Station Based,Numero di prelievi,2421802,""
42,2014,car sharing,Free Floating,Autovetture totale,1579,""
43,2014,car sharing,Free Floating,Autovetture elettriche,,""
44,2014,car sharing,Free Floating,Numero di punti di riconsegna,,""
45,2014,car sharing,Free Floating,Stalli di sosta,,""
46,2014,car sharing,Free Floating,Numero di abbonati,247527,""
47,2014,car sharing,Free Floating,Noleggi medi giornalieri,7017,""
48,2014,car sharing,Station Based,Autovetture totale,121,""
49,2014,car sharing,Station Based,Autovetture elettriche,2,""
50,2014,car sharing,Station Based,Aree di sosta,74,""
51,2014,car sharing,Station Based,Stalli di sosta,74,""
52,2014,car sharing,Station Based,Numero di abbonati,5000,""
53,2014,car sharing,Station Based,Numero di chilometri percorsi,,""
54,2015,bike sharing,Free Floating,Numero di abbonati,45280,""
55,2015,bike sharing,Station Based,Numero di biciclette,4650,""
56,2015,bike sharing,Station Based,Stazioni attive,269,""
57,2015,bike sharing,Station Based,Numero di abbonati,43736,""
58,2015,bike sharing,Station Based,Numero di prelievi,3127352,""
59,2015,car sharing,Free Floating,Autovetture totale,1774,""
60,2015,car sharing,Free Floating,Autovetture elettriche,244,""
61,2015,car sharing,Free Floating,Numero di punti di riconsegna,,""
62,2015,car sharing,Free Floating,Stalli di sosta,,""
63,2015,car sharing,Free Floating,Numero di abbonati,359059,""
64,2015,car sharing,Free Floating,Noleggi medi giornalieri,9256,""
65,2015,car sharing,Station Based,Autovetture totale,82,""
66,2015,car sharing,Station Based,Autovetture elettriche,5,""
67,2015,car sharing,Station Based,Aree di sosta,74,""
68,2015,car sharing,Station Based,Stalli di sosta,74,""
69,2015,car sharing,Station Based,Numero di abbonati,5000,""
70,2015,car sharing,Station Based,Numero di chilometri percorsi,,""
71,2015,scooter sharing,Free Floating,Numero di abbonati,20224,""
72,2015,scooter sharing,Free Floating,scooter totale,150,""
73,2015,scooter sharing,Free Floating,Noleggi medi giornalieri,203,15 luglio-31 dicembre
74,2016,bike sharing,Free Floating,Numero di abbonati,,""
75,2016,bike sharing,Station Based,Numero di biciclette,4650,""
76,2016,bike sharing,Station Based,Stazioni attive,280,""
77,2016,bike sharing,Station Based,Numero di abbonati,54251,""
78,2016,bike sharing,Station Based,Numero di prelievi,4080651,""
79,2016,car sharing,Free Floating,Autovetture totale,2699,""
80,2016,car sharing,Free Floating,Autovetture elettriche,711,""
81,2016,car sharing,Free Floating,Numero di punti di riconsegna,0,""
82,2016,car sharing,Free Floating,Stalli di sosta,0,""
83,2016,car sharing,Free Floating,Numero di abbonati,527624,""
84,2016,car sharing,Free Floating,Noleggi medi giornalieri,11310,""
85,2016,car sharing,Station Based,Autovetture totale,122,""
86,2016,car sharing,Station Based,Autovetture elettriche,5,""
87,2016,car sharing,Station Based,Aree di sosta,,""
88,2016,car sharing,Station Based,Stalli di sosta,74,""
89,2016,car sharing,Station Based,Numero di abbonati,4386,""
90,2016,car sharing,Station Based,Numero di chilometri percorsi,,""
91,2016,scooter sharing,Free Floating,Numero di abbonati,23543,""
92,2016,scooter sharing,Free Floating,scooter totale,150,""
93,2016,scooter sharing,Free Floating,Noleggi medi giornalieri,182,""
94,2017,bike sharing,Free Floating,Numero di biciclette,12000,""
95,2017,bike sharing,Free Floating,Numero di abbonati,310448,""
96,2017,bike sharing,Free Floating,Numero di prelievi,1800000,""
97,2017,bike sharing,Station Based,Numero di biciclette,4650,""
98,2017,bike sharing,Station Based,Stazioni attive,280,""
99,2017,bike sharing,Station Based,Numero di abbonati,57021,""
100,2017,bike sharing,Station Based,Numero di prelievi,4285017,""
101,2017,car sharing,Free Floating,Autovetture totale,3143,""
102,2017,car sharing,Free Floating,Autovetture elettriche,781,""
103,2017,car sharing,Free Floating,Numero di punti di riconsegna,0,""
104,2017,car sharing,Free Floating,Stalli di sosta,0,""
105,2017,car sharing,Free Floating,Numero di abbonati,675097,""
106,2017,car sharing,Free Floating,Noleggi medi giornalieri,14435,noleggi con km>0
107,2017,car sharing,Station Based,Autovetture totale,147,""
108,2017,car sharing,Station Based,Autovetture elettriche,,""
109,2017,car sharing,Station Based,Aree di sosta,100,""
110,2017,car sharing,Station Based,Stalli di sosta,151,""
111,2017,car sharing,Station Based,Numero di abbonati,16490,""
112,2017,car sharing,Station Based,Noleggi medi giornalieri,,""
113,2017,scooter sharing,Free Floating,Scooter totale,250,""
114,2017,scooter sharing,Free Floating,scooter elettrici,250,""
115,2017,scooter sharing,Free Floating,Numero di abbonati,5766,""
116,2017,scooter sharing,Free Floating,scooter totale,250,""
117,2017,scooter sharing,Free Floating,scooter elettrici,250,""
118,2017,scooter sharing,Free Floating,Noleggi medi giornalieri,37,Servizio non attivo in alcuni mesi
119,2018,bike sharing,Free Floating,Numero di biciclette,12000,""
120,2018,bike sharing,Free Floating,Numero di abbonati,439756,""
121,2018,bike sharing,Free Floating,Numero di prelievi,3134325,""
122,2018,bike sharing,Station Based,Numero di biciclette,4800,""
123,2018,bike sharing,Station Based,Stazioni attive,291,""
124,2018,bike sharing,Station Based,Numero di abbonati,46926,""
125,2018,bike sharing,Station Based,Numero di prelievi,3485853,""
126,2018,car sharing,Free Floating,Autovetture totale,3094,""
127,2018,car sharing,Free Floating,Autovetture elettriche,668,""
128,2018,car sharing,Free Floating,Numero di punti di riconsegna,0,""
129,2018,car sharing,Free Floating,Stalli di sosta,0,""
130,2018,car sharing,Free Floating,Numero di abbonati,881168,""
131,2018,car sharing,Free Floating,Noleggi medi giornalieri,16851,noleggi con km>0
132,2018,car sharing,Station Based,Autovetture totale,148,""
133,2018,car sharing,Station Based,Autovetture elettriche,7,""
134,2018,car sharing,Station Based,Aree di sosta,100,""
135,2018,car sharing,Station Based,Stalli di sosta,151,""
136,2018,car sharing,Station Based,Numero di abbonati,36816,""
137,2018,car sharing,Station Based,Noleggi medi giornalieri,108,""
138,2018,scooter sharing,Free Floating,Scooter totale,1691,""
139,2018,scooter sharing,Free Floating,scooter elettrici,1631,""
140,2018,scooter sharing,Free Floating,Numero di abbonati,60502,""
141,2018,scooter sharing,Free Floating,Noleggi medi giornalieri,928,Dato parziale
142,2019,bike sharing,Station Based,Numero di biciclette,5430,""
143,2019,bike sharing,Station Based,Stazioni attive,307,""
144,2019,bike sharing,Station Based,Numero di abbonati,42103,""
145,2019,bike sharing,Station Based,Numero di prelievi,2852237,""
146,2019,car sharing,Free Floating,Autovetture totale,3115,""
147,2019,car sharing,Free Floating,Autovetture elettriche,488,""
148,2019,car sharing,Station Based,autovetture totale,170,""
149,2019,car sharing,Station Based,Autovetture elettriche,0,""
150,2019,car sharing,Station Based,Numero di abbonati,64296,""
151,2019,scooter sharing,Free Floating,Scooter totale,2361,""
152,2019,scooter sharing,Free Floating,scooter elettrici,2301,""
